,videoFileName,totalWords,totalNoun,totalConj,totalAdj,totalVerbs,totalAdv,totalPoi,totalMisce,totalWood,matchedWords_noSyn,matchedNoun_noSyn,matchedConj_noSyn,matchedAdj_noSyn,matchedVerbs_noSyn,matchedAdv_noSyn,matchedPoi_noSyn,matchedMisce_noSyn,matchedWood_noSyn,matchedSentence_noSyn,matchedWords_Syn,matchedNoun_Syn,matchedConj_Syn,matchedAdj_Syn,matchedVerbs_Syn,matchedAdv_Syn,matchedPoi_Syn,matchedMisce_Syn,matchedWood_Syn,matchedSentence_Syn
0,ira_39.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,ira_11.mp4,7,6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1
0,ira_10.mp4,9,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1
0,ira_38.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,ira_12.mp4,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_13.mp4,7,4,0,2,0,0,0,1,1,2,1,0,1,0,0,0,0,1,1,2,1,0,1,0,0,0,0,1,1
0,ira_17.mp4,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1
0,ira_16.mp4,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_9.mp4,10,9,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1
0,ira_14.mp4,11,10,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,1
0,ira_28.mp4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_29.mp4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_15.mp4,12,10,0,1,1,0,0,0,3,1,1,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,1,1
0,ira_8.mp4,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_48.mp4,7,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_49.mp4,5,3,0,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1
0,ira_53.mp4,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
0,ira_47.mp4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_46.mp4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_52.mp4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_44.mp4,8,7,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,1
0,ira_50.mp4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_51.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,ira_45.mp4,9,8,0,0,0,0,0,1,2,3,2,0,0,0,0,0,1,1,1,3,2,0,0,0,0,0,1,1,1
0,ira_41.mp4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
0,ira_40.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,ira_42.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,ira_43.mp4,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_5.mp4,7,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_18.mp4,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_30.mp4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_24.mp4,6,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_25.mp4,8,6,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,1
0,ira_31.mp4,11,9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_19.mp4,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_4.mp4,9,6,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,2,1,0,1,0,0,0,0,1,1
0,ira_6.mp4,5,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_27.mp4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_33.mp4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_32.mp4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_26.mp4,6,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,ira_7.mp4,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,ira_3.mp4,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,ira_22.mp4,5,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_36.mp4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_37.mp4,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1
0,ira_23.mp4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_2.mp4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_35.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,ira_21.mp4,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1
0,ira_20.mp4,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_34.mp4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ira_1.mp4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_64.mp4,8,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_70.mp4,7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,proteinas_58.mp4,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_105.mp4,8,7,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1
0,proteinas_111.mp4,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_139.mp4,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_138.mp4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_110.mp4,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_104.mp4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,proteinas_59.mp4,16,11,0,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
0,proteinas_71.mp4,12,7,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_65.mp4,8,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_73.mp4,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_67.mp4,8,3,0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,1
0,proteinas_112.mp4,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_106.mp4,10,10,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,1,1
0,proteinas_98.mp4,7,4,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_99.mp4,6,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_107.mp4,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_113.mp4,8,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,proteinas_66.mp4,4,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
0,proteinas_72.mp4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_76.mp4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,proteinas_62.mp4,19,13,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,proteinas_89.mp4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_117.mp4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_103.mp4,11,8,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1
0,proteinas_102.mp4,9,9,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,1
0,proteinas_116.mp4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_88.mp4,10,3,0,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,proteinas_63.mp4,6,4,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1
0,proteinas_77.mp4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_49.mp4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_61.mp4,6,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_75.mp4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_128.mp4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_100.mp4,12,8,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_114.mp4,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_115.mp4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,proteinas_101.mp4,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_129.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,proteinas_74.mp4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,proteinas_60.mp4,13,9,0,2,1,0,0,1,2,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1
0,proteinas_48.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
